,PassengerId,Survived
130,1022,0.0
131,1023,1.0
132,1024,
133,1025,
134,1026,0.0
135,1027,0.0
136,1028,0.0
137,1029,1.0
138,1030,1.0
139,1031,1.0
140,1032,1.0
141,1033,1.0
142,1034,1.0
143,1035,1.0
144,1036,1.0
145,1037,0.0
146,1038,
147,1039,0.0
148,1040,
149,1041,1.0
150,1042,1.0
151,1043,
152,1044,
153,1045,1.0
154,1046,1.0
155,1047,0.0
156,1048,1.0
157,1049,1.0
158,1050,1.0
159,1051,1.0
160,1052,
161,1053,1.0
162,1054,1.0
163,1055,
164,1056,1.0
165,1057,1.0
166,1058,1.0
167,1059,1.0
168,1060,
169,1061,1.0
170,1062,
171,1063,0.0
172,1064,1.0
173,1065,
174,1066,1.0
175,1067,1.0
176,1068,1.0
177,1069,1.0
178,1070,1.0
179,1071,1.0
180,1072,1.0
181,1073,1.0
182,1074,1.0
183,1075,
184,1076,1.0
185,1077,1.0
186,1078,1.0
187,1079,0.0
188,1080,
189,1081,1.0
190,1082,1.0
191,1083,
192,1084,1.0
193,1085,0.0
194,1086,1.0
195,1087,0.0
196,1088,1.0
197,1089,1.0
198,1090,1.0
199,1091,
200,1092,
201,1093,1.0
202,1094,1.0
203,1095,1.0
204,1096,1.0
205,1097,
206,1098,1.0
207,1099,1.0
208,1100,1.0
209,1101,0.0
210,1102,1.0
211,1103,
212,1104,1.0
213,1105,1.0
214,1106,0.0
215,1107,1.0
216,1108,
217,1109,1.0
218,1110,1.0
219,1111,
220,1112,1.0
221,1113,0.0
222,1114,1.0
223,1115,0.0
224,1116,1.0
225,1117,
226,1118,0.0
227,1119,
228,1120,1.0
229,1121,1.0
230,1122,1.0
231,1123,1.0
232,1124,0.0
233,1125,
234,1126,1.0
235,1127,0.0
236,1128,1.0
237,1129,0.0
238,1130,1.0
239,1131,1.0
240,1132,1.0
241,1133,1.0
242,1134,1.0
243,1135,
244,1136,
245,1137,1.0
246,1138,1.0
247,1139,1.0
248,1140,1.0
249,1141,
250,1142,1.0
251,1143,0.0
252,1144,1.0
253,1145,0.0
254,1146,0.0
255,1147,
256,1148,
257,1149,0.0
258,1150,1.0
259,1151,0.0
260,1152,1.0
261,1153,0.0
262,1154,1.0
263,1155,1.0
264,1156,1.0
265,1157,
266,1158,
267,1159,
268,1160,
269,1161,1.0
270,1162,1.0
271,1163,
272,1164,1.0
273,1165,
274,1166,
275,1167,1.0
276,1168,1.0
277,1169,1.0
278,1170,1.0
279,1171,1.0
280,1172,1.0
281,1173,1.0
282,1174,
283,1175,1.0
284,1176,1.0
285,1177,0.0
286,1178,
287,1179,1.0
288,1180,
289,1181,
290,1182,
291,1183,1.0
292,1184,
293,1185,1.0
294,1186,0.0
295,1187,0.0
296,1188,1.0
297,1189,
298,1190,1.0
299,1191,0.0
300,1192,0.0
301,1193,
302,1194,1.0
303,1195,0.0
304,1196,
305,1197,1.0
306,1198,1.0
307,1199,1.0
308,1200,1.0
309,1201,1.0
310,1202,1.0
311,1203,0.0
312,1204,
313,1205,1.0
314,1206,1.0
315,1207,1.0
316,1208,1.0
317,1209,1.0
318,1210,0.0
319,1211,1.0
320,1212,0.0
321,1213,0.0
322,1214,1.0
323,1215,1.0
324,1216,1.0
325,1217,0.0
326,1218,1.0
327,1219,1.0
328,1220,1.0
329,1221,1.0
330,1222,1.0
331,1223,1.0
332,1224,
333,1225,1.0
334,1226,0.0
335,1227,1.0
336,1228,1.0
337,1229,0.0
338,1230,1.0
339,1231,
340,1232,1.0
341,1233,0.0
342,1234,
343,1235,1.0
344,1236,
345,1237,1.0
346,1238,1.0
347,1239,1.0
348,1240,1.0
349,1241,1.0
350,1242,1.0
351,1243,1.0
352,1244,1.0
353,1245,1.0
354,1246,1.0
355,1247,1.0
356,1248,1.0
357,1249,
358,1250,
359,1251,1.0
360,1252,1.0
361,1253,1.0
362,1254,1.0
363,1255,0.0
364,1256,1.0
365,1257,
366,1258,
367,1259,1.0
368,1260,1.0
369,1261,1.0
370,1262,1.0
371,1263,1.0
372,1264,0.0
373,1265,1.0
374,1266,1.0
375,1267,1.0
376,1268,1.0
377,1269,1.0
378,1270,1.0
379,1271,1.0
380,1272,
381,1273,0.0
382,1274,
383,1275,1.0
384,1276,
385,1277,1.0
386,1278,0.0
387,1279,0.0
388,1280,0.0
389,1281,1.0
390,1282,1.0
391,1283,1.0
392,1284,1.0
393,1285,0.0
394,1286,1.0
395,1287,1.0
396,1288,0.0
397,1289,1.0
398,1290,0.0
399,1291,0.0
400,1292,1.0
401,1293,1.0
402,1294,1.0
403,1295,1.0
404,1296,1.0
405,1297,1.0
406,1298,1.0
407,1299,1.0
408,1300,
409,1301,1.0
410,1302,
411,1303,1.0
412,1304,1.0
413,1305,
414,1306,1.0
415,1307,0.0
416,1308,
417,1309,
